#{"t_start": 1655408526.9748297, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-91.20046,284,837.074594
-96.675337,124,837.206331
-62.058274,2000,840.547389
-87.927918,196,840.763052
-115.67784,60,840.835573
-63.108098,2000,844.179765
-85.992146,179,844.389791
-110.335056,1717,847.384596
-88.908608,236,847.638375
-93.984723,134,847.78356
-60.895648,2000,851.000363
-63.360195,2000,854.449953
-37.625134,2000,857.865168
-85.337125,906,860.074148
-87.919176,191,860.302453
-62.964153,2000,863.732068
-62.494239,2000,867.167655
-74.270246,940,868.198194
-59.820113,2000,871.645975
-71.416563,2000,874.893878
-17.983776,2000,878.20327
-146.409044,1483,880.856681
-121.268116,879,881.786907
-120.317035,113,881.902653
-120.693461,97,882.011163
-61.467931,2000,885.481649
-118.350698,94,885.592258
-89.399568,233,885.855065
-87.739402,197,886.08221
-95.894312,150,887.326908
-90.332822,1269,888.664548
-101.532539,1171,890.974723
-53.173139,2000,894.324292
-90.910633,278,894.622944
-52.993972,2000,897.864992
-73.955659,2000,901.458233
-70.877941,2000,904.832126
-60.447378,2000,908.363225
-59.93211,2000,911.664944
-86.482492,192,911.88719
-59.93947,2000,915.27826
-91.21085,263,915.563133
21.877264,2000,918.88567
-116.013467,80,918.975749
-89.959258,273,919.279982
-112.301604,61,919.350208
-98.799326,166,919.534991
-113.865356,69,919.621416
-50.89493,2000,922.844881
-124.806985,949,924.929801
-154.912636,1673,926.694064
-37.758601,2000,930.042299
-59.377428,2000,933.397648
-89.088302,284,934.803476
-86.878236,180,935.002914
-91.144137,256,935.279918
-95.405675,241,935.534633
-89.438977,265,935.822355
-62.574119,2000,939.215
-95.780734,810,940.136665
-69.249679,1318,942.740435
-93.504589,149,942.903445
-101.713659,410,943.349528
-92.364636,326,943.712493
-100.759977,368,945.19143
-44.273087,2000,948.555067
-146.75714,1483,950.209644
-93.61789,359,951.695324
-48.680627,2000,954.902659
-89.770749,250,955.168455
-73.549883,1137,956.3877
-89.63407,234,956.631511
-86.633919,810,958.561503
